App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver
Battlefield™ Companion,Action,4.0,263907,62M,"10,000,000+",Free,0,Everyone 10+,"November 1, 2016",3.0.4,4.0 and up
D.L. Evans Bank Mobile Banking,Finance,4.3,85,30M,"10,000+",Free,0,Everyone,"May 2, 2018",18.1.79,5.0 and up
Ek Kauwa Pyasa Tha,Entertainment,4.1,35,3.1M,"50,000+",Free,0,Everyone,"June 25, 2017",1.3.6,4.0 and up
DS-L4 Viewer,Photography,3.5,13,7.9M,"1,000+",Free,0,Everyone,"January 29, 2018",1.2.0.9,5.0 and up
Temple Run 2,Action,4.3,8119154,62M,"500,000,000+",Free,0,Everyone,"July 5, 2018",1.49.1,4.0 and up
DB Sound Meter: Measure Noise Level- Decibel Meter,Tools,4.3,824,2.8M,"10,000+",Free,0,Everyone,"December 13, 2017",1.0.1,4.1 and up
Real Football,Sports,4.1,585564,33M,"10,000,000+",Free,0,Everyone,"June 1, 2018",1.5.0,4.0.3 and up
HISTORY: Watch TV Show Full Episodes & Specials,Entertainment,4.1,33387,20M,"1,000,000+",Free,0,Teen,"July 16, 2018",3.1.4,4.4 and up
DS App Manager,Tools,4.6,14,2.1M,"1,000+",Free,0,Everyone,"March 21, 2015",1.0,2.3 and up
"WalletHub - Free Credit Score, Report & Monitoring",Finance,4.7,1311,9.3M,"50,000+",Free,0,Everyone,"June 19, 2018",1.4.11,4.4 and up
Cover Camera for FB,Photography,3.8,742,1.8M,"100,000+",Free,0,Everyone,"March 9, 2014",3.0.0,2.2 and up
myQ,Tools,3.6,3642,29M,"100,000+",Free,0,Everyone,"July 23, 2018",3.2.0,4.0.3 and up
Camera360 Lite - Selfie Camera,Photography,4.4,221878,Varies with device,"10,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,4.1 and up
dB Meter - measure sound & noise level in Decibel,Tools,4.6,154,6.6M,"10,000+",Free,0,Everyone,"July 26, 2018",1.1,4.4 and up
FP BW LCD View,Entertainment,3.4,16,1.2M,500+,Free,0,Everyone,"March 31, 2016",1.0,4.0.3 and up
BBC Sport,Sports,4.2,18679,Varies with device,"1,000,000+",Free,0,Everyone,"April 25, 2018",Varies with device,Varies with device
OpenGL-ES Info,Tools,4.3,249,626k,"10,000+",Free,0,Everyone,"August 8, 2013",1.4,1.6 and up
DW Contacts & Phone & Dialer,Communication,4.3,21186,10M,"1,000,000+",Free,0,Everyone,"August 4, 2018",Varies with device,Varies with device
I'm Ping Pong King :),Sports,4.4,29864,40M,"1,000,000+",Free,0,Everyone,"July 26, 2018",2.5,4.1 and up
IV Calc CP Calculator Toolkit,Tools,4.2,242,3.2M,"10,000+",Free,0,Everyone,"October 6, 2016",1.3,4.2 and up
Netflix,Entertainment,4.4,5453997,Varies with device,"100,000,000+",Free,0,Teen,"July 31, 2018",Varies with device,Varies with device
EC SPORTS,Sports,5.0,1,6.3M,10+,Free,0,Everyone,"May 26, 2015",4.1.1,2.3.3 and up
EU Mobile Money,Finance,3.9,460,6.1M,"100,000+",Free,0,Everyone,"July 16, 2018",1.6,4.0 and up
Florida State Gameday,Sports,4.7,1566,26M,"50,000+",Free,0,Everyone,"July 13, 2018",9.19.2,4.1 and up
FD VR Music Videos - MTV Pop and Rap in 360,Entertainment,4.9,15,26M,"1,000+",Free,0,Everyone,"December 19, 2017",4.5.3c,4.4 and up
Best Auto Call Recorder Free,Communication,3.7,7,4.3M,500+,Free,0,Everyone,"October 2, 2017",2.1,4.1 and up
Q Remote Control,Tools,3.8,4264,14M,"500,000+",Free,0,Everyone,"July 12, 2014",2.6.1,2.3 and up
My AEK - Official ΑΕΚ FC app,Sports,4.8,3346,Varies with device,"50,000+",Free,0,Everyone,"January 18, 2018",2.0.2,Varies with device
PixPanda - Color by Number Pixel Art Coloring Book,Entertainment,4.9,55723,14M,"1,000,000+",Free,0,Everyone,"June 4, 2018",3.3,4.0.3 and up
Blood Donor,Medical,4.2,4476,20M,"500,000+",Free,0,Everyone,"July 31, 2018",1.6.2,4.1 and up
Talkray - Free Calls & Texts,Communication,4.2,244863,Varies with device,"10,000,000+",Free,0,Everyone,"May 29, 2018",Varies with device,Varies with device
Be A Legend: Soccer,Sports,3.8,85763,21M,"1,000,000+",Free,0,Everyone,"August 24, 2015",2.8.0.17,3.0 and up
DC Universe Online Map,Tools,4.1,1186,6.4M,"50,000+",Free,0,Unrated,"February 27, 2012",1.3,2.3.3 and up
PicsArt Photo Studio: Collage Maker & Pic Editor,Photography,4.5,7590099,34M,"100,000,000+",Free,0,Teen,"July 31, 2018",9.40.3,4.0.3 and up
osmino Wi-Fi: free WiFi,Tools,4.2,134203,4.1M,"10,000,000+",Free,0,Everyone,"August 6, 2018",6.06.14,4.4 and up
"CBS Sports App - Scores, News, Stats & Watch Live",Sports,4.3,91031,Varies with device,"5,000,000+",Free,0,Everyone,"August 4, 2018",Varies with device,5.0 and up
Todoist: To-do lists for task management & errands,Productivity,4.5,155999,12M,"10,000,000+",Free,0,Everyone,"August 5, 2018",12.8.2,4.4 and up
Rabbithole,Entertainment,3.5,3347,15M,"100,000+",Free,0,Everyone,"July 18, 2018",1.1.15.12,4.4 and up
Scanner Radio - Fire and Police Scanner,Entertainment,4.4,175509,Varies with device,"10,000,000+",Free,0,Everyone,"August 7, 2018",Varies with device,Varies with device
FanDuel: Daily Fantasy Sports,Sports,4.6,29673,57M,"1,000,000+",Free,0,Mature 17+,"August 6, 2018",2.46.1,5.0 and up
Maher EL Mouaikly - Offline,Entertainment,4.6,166,2.6M,"10,000+",Free,0,Everyone,"May 24, 2017",1.1.0,3.1 and up
CBS - Full Episodes & Live TV,Entertainment,3.8,92058,12M,"10,000,000+",Free,0,Teen,"July 20, 2018",4.8.6,4.1 and up
Mobile Legends: Bang Bang,Action,4.4,8219586,99M,"100,000,000+",Free,0,Teen,"July 24, 2018",1.2.97.3042,4.0.3 and up
Height Converter feet-inch cm,Tools,4.2,498,597k,"100,000+",Free,0,Everyone,"October 22, 2013",1.0,2.2 and up
DraftKings - Daily Fantasy Sports,Sports,4.5,50017,41M,"1,000,000+",Free,0,Adults only 18+,"July 24, 2018",3.21.324,4.4 and up
mail.com mail,Communication,4.2,44706,Varies with device,"1,000,000+",Free,0,Everyone,"July 25, 2018",Varies with device,Varies with device
Modern Counter Terror Attack – Shooting Game,Action,4.2,340,72M,"50,000+",Free,0,Mature 17+,"October 27, 2017",1.0,4.1 and up
Free Sports TV,Sports,4.3,1802,9.8M,"100,000+",Free,0,Everyone,"June 21, 2018",1.4,4.0.3 and up
Check Lottery Tickets - Florida,Entertainment,2.0,27,31M,"5,000+",Free,0,Teen,"October 17, 2017",2.1,4.0.3 and up
Remote For ATT U-verse TV - NOW FREE,Tools,2.5,20,26M,"5,000+",Free,0,Everyone,"July 25, 2018",6.1.5,4.2 and up
Toronto FC,Sports,3.4,144,79M,"10,000+",Free,0,Teen,"May 11, 2018",4.2.5,4.3 and up
mySugr: the blood sugar tracker made just for you,Medical,4.6,21189,36M,"1,000,000+",Free,0,Everyone,"August 6, 2018",3.52.1,5.0 and up
TIMBER AD FILTER - Very useful ad block app,Productivity,3.8,1343,9.0M,"100,000+",Free,0,Everyone,"March 12, 2018",1.0.26,5.0 and up
CBS - Full Episodes & Live TV,Entertainment,3.8,92058,12M,"10,000,000+",Free,0,Teen,"July 20, 2018",4.8.6,4.1 and up
Netflix,Entertainment,4.4,5456208,Varies with device,"100,000,000+",Free,0,Teen,"July 31, 2018",Varies with device,Varies with device
DEER HUNTER 2018,Action,4.3,955656,82M,"10,000,000+",Free,0,Teen,"June 26, 2018",5.1.2,3.0 and up
Zombie Hunter King,Action,4.3,10306,50M,"1,000,000+",Free,0,Mature 17+,"August 1, 2018",1.0.8,2.3 and up
HSPA+ Tweaker (3G booster),Tools,4.3,99290,3.9M,"5,000,000+",Free,0,Everyone,"December 5, 2017",3.1 Release b2,2.3 and up
People's Bank,Finance,3.6,10697,46M,"1,000,000+",Free,0,Everyone,"July 18, 2018",3.22.1,4.1 and up
Game for KIDS: KIDS match'em,Education,4.4,7005,6.9M,"1,000,000+",Free,0,Everyone,"October 23, 2016",1.17,2.3 and up
Khan Academy,Education,4.6,85375,21M,"5,000,000+",Free,0,Everyone,"July 27, 2018",5.0.0,4.1 and up
Lake Michigan CU Mobile,Finance,4.0,732,5.5M,"50,000+",Free,0,Everyone,"April 2, 2018",3.0.21,4.0 and up
Inventory & Barcode scanner & WIFI scanner,Productivity,4.6,1880,18M,"50,000+",Paid,$1.49,Everyone,"July 1, 2018",6.08,4.3 and up
AP ENPS Mobile,Productivity,4.1,22,545k,"5,000+",Free,0,Everyone,"March 8, 2016",8.0.0130,4.4 and up
"Even - organize your money, get paid early",Finance,4.8,12304,21M,"100,000+",Free,0,Everyone,"August 2, 2018",6.0.16,5.0 and up
Bank of America Mobile Banking,Finance,4.4,341090,53M,"10,000,000+",Free,0,Everyone,"July 31, 2018",7.8.8,4.4 and up
m-Faisaa,Finance,4.0,142,6.2M,"10,000+",Free,0,Everyone,"July 13, 2018",5.3,4.0.3 and up
Shadow Fight 2,Action,4.6,10979062,88M,"100,000,000+",Free,0,Everyone 10+,"July 2, 2018",1.9.38,3.0 and up
Axxess Updater,Tools,3.9,56,2.3M,"10,000+",Free,0,Everyone,"December 19, 2016",1.3.2,3.1 and up
Camera51 - a smarter camera,Photography,4.0,29707,18M,"1,000,000+",Free,0,Everyone,"February 10, 2015",1.1.6,4.0 and up
Professor Online SEDUC-CE,Education,4.1,188,4.6M,"10,000+",Free,0,Everyone,"July 6, 2018",1.3,4.1 and up
Five Nights at Pizzeria,Action,3.5,1976,21M,"100,000+",Free,0,Teen,"March 3, 2018",1.6,4.1 and up
Alarm Clock: Stopwatch & Timer,Productivity,4.5,870928,16M,"50,000,000+",Free,0,Everyone,"June 8, 2018",5.9.6,4.1 and up
Morse Notifier Free,Tools,4.6,79,3.0M,"1,000+",Free,0,Everyone,"November 8, 2017",2.9.9,4.0.3 and up
G-Download Manager,Tools,4.1,802,9.4M,"50,000+",Free,0,Everyone,"May 24, 2018",1.0.81,4.1 and up
Tomo A.i. Pet Chat Bot,Entertainment,3.3,40,3.6M,"1,000+",Free,0,Everyone,"May 15, 2017",1.0,4.0.3 and up
Shooting King,Sports,4.4,257724,69M,"10,000,000+",Free,0,Everyone 10+,"May 25, 2018",1.4.2,4.0.3 and up
LOCX Applock Lock Apps & Photo,Productivity,4.5,208543,Varies with device,"10,000,000+",Free,0,Everyone,"July 5, 2018",Varies with device,Varies with device
mysms SMS Text Messaging Sync,Communication,4.3,37320,8.4M,"1,000,000+",Free,0,Everyone,"July 30, 2018",6.5.1,4.0.3 and up
Google Voice,Communication,4.2,171052,Varies with device,"10,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
Essential Anatomy 3,Medical,4.1,1533,42M,"50,000+",Paid,$11.99,Mature 17+,"August 7, 2014",1.1.3,4.0.3 and up
Footej Camera,Photography,4.3,13258,Varies with device,"1,000,000+",Free,0,Everyone,"June 20, 2018",2.3.0 build 180,5.0 and up
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",Productivity,4.5,1508137,37M,"100,000,000+",Free,0,Everyone,"July 30, 2018",11.1.3,4.0 and up
BankNordik,Finance,3.9,28,15M,"5,000+",Free,0,Everyone,"August 8, 2018",7.3.2,5.0 and up
Eventbrite - Discover popular events & nearby fun,Entertainment,4.4,63773,8.8M,"5,000,000+",Free,0,Everyone,"July 30, 2018",5.7.2,5.0 and up
My Budget Book,Finance,4.7,19784,7.3M,"100,000+",Paid,$2.99,Everyone,"June 13, 2018",7.6,4.0 and up
Learn programming,Education,4.1,12733,Varies with device,"1,000,000+",Free,0,Everyone,"May 20, 2018",Varies with device,Varies with device
Meme Generator Free,Entertainment,4.4,303394,53M,"10,000,000+",Free,0,Mature 17+,"August 3, 2018",4.426,4.1 and up
I AM RICH PRO PLUS,Finance,4.0,36,41M,"1,000+",Paid,$399.99,Everyone,"June 25, 2018",1.0.2,4.1 and up
20WPM Amateur ham radio Koch CW Morse code trainer,Communication,4.3,12,3.7M,100+,Paid,$1.49,Everyone,"May 22, 2018",3.0.4,2.1 and up
Wells Fargo Mobile,Finance,4.4,250706,37M,"10,000,000+",Free,0,Everyone,"July 31, 2018",6.8.0.109,5.0 and up
Modern Counter Global Strike 3D,Action,4.1,297,48M,"50,000+",Free,0,Teen,"March 28, 2018",1.2,4.1 and up
Dropbox,Productivity,4.4,1861310,61M,"500,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Telegram,Communication,4.4,3128250,Varies with device,"100,000,000+",Free,0,Mature 17+,"July 27, 2018",Varies with device,Varies with device
"m, cm, mm to yard, feet, inch converter tool",Tools,4.3,246,2.8M,"100,000+",Free,0,Everyone,"February 6, 2018",1.1,4.0 and up
Crisis Action: 2018 NO.1 FPS,Action,4.3,807226,34M,"10,000,000+",Free,0,Teen,"July 11, 2018",3.0.2,4.0.3 and up
PriorityONE Credit Union of Fl,Finance,4.7,178,12M,"1,000+",Free,0,Everyone,"June 12, 2018",5.9.1.0,5.0 and up
Video Downloader For FB: Save FB Videos 2018,Tools,4.3,434,3.6M,"50,000+",Free,0,Everyone,"August 8, 2018",1.1.9,4.0.3 and up
WiFi Automatic,Tools,4.1,10595,Varies with device,"1,000,000+",Free,0,Everyone,"March 18, 2018",Varies with device,Varies with device
Lie Detector Test Prank,Entertainment,4.4,222308,6.9M,"10,000,000+",Free,0,Everyone,"July 31, 2018",3.0.2,4.4 and up
Adobe Photoshop Express:Photo Editor Collage Maker,Photography,4.2,914917,Varies with device,"50,000,000+",Free,0,Everyone,"July 22, 2018",5.0.508,4.4 and up
"Talkie - Wi-Fi Calling, Chats, File Sharing",Communication,4.2,4838,Varies with device,"500,000+",Free,0,Everyone,"January 6, 2018",Varies with device,Varies with device
Turbo AI™ - Personal assistant,Productivity,2.6,91,2.8M,"5,000+",Free,0,Everyone,"July 16, 2018",0.0.52,4.0.3 and up
FreedomPop Messaging Phone/SIM,Communication,3.6,9894,39M,"500,000+",Free,0,Everyone,"July 26, 2018",23.01.1265.0712,4.1 and up
"CBS Sports App - Scores, News, Stats & Watch Live",Sports,4.3,91031,Varies with device,"5,000,000+",Free,0,Everyone,"August 4, 2018",Varies with device,5.0 and up
Huji Cam,Photography,4.4,40289,19M,"5,000,000+",Free,0,Everyone,"July 11, 2018",2.2,5.0 and up
Fantasy Football,Sports,3.5,50179,23M,"1,000,000+",Free,0,Everyone,"August 2, 2018",2.5.7.1,5.0 and up
myHomework Student Planner,Education,4.0,28392,Varies with device,"1,000,000+",Free,0,Everyone,"March 7, 2018",Varies with device,Varies with device
ASUS Gallery,Photography,4.3,125259,Varies with device,"50,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
CI Remote for Go,Productivity,4.6,20,Varies with device,100+,Free,0,Everyone,"July 2, 2018",Varies with device,Varies with device
Cops N Robbers - FPS Mini Game,Action,4.2,156862,64M,"5,000,000+",Free,0,Everyone 10+,"July 31, 2018",7.0.4,4.1 and up
STARZ,Entertainment,4.3,88185,Varies with device,"10,000,000+",Free,0,Mature 17+,"June 20, 2018",Varies with device,Varies with device
GRE® Flashcards by Kaplan,Education,4.0,316,29M,"50,000+",Free,0,Everyone,"February 15, 2017",1.4,4.0 and up
Korean English Translator,Education,4.4,634,1.8M,"100,000+",Free,0,Everyone,"September 5, 2017",1.6,2.3 and up
Facetune - For Free,Photography,4.4,49553,48M,"1,000,000+",Paid,$5.99,Everyone,"July 25, 2018",1.3.1,4.1 and up
PORTABLE SOCCER DX Lite,Sports,4.2,15068,2.5M,"1,000,000+",Free,0,Everyone,"June 19, 2018",3.4,2.3 and up
"CM Browser - Ad Blocker , Fast Download , Privacy",Communication,4.6,2265084,6.1M,"50,000,000+",Free,0,Everyone,"July 31, 2018",5.22.18.0006,4.0 and up
CT Scan Generations,Education,4.7,6,5.1M,"1,000+",Free,0,Everyone,"April 1, 2018",1.0,4.0 and up
FK Dedinje BGD,Sports,5.0,36,2.6M,100+,Free,0,Everyone,"February 11, 2017",1.1,4.0 and up
FP FCU,Finance,3.6,48,26M,"5,000+",Free,0,Everyone,"April 5, 2018",4.6.71,4.0.3 and up
BC Navigator,Education,4.4,21,32M,"1,000+",Free,0,Everyone,"May 10, 2018",3.2,4.0.3 and up
Learn to Speak English,Education,4.4,33646,7.0M,"1,000,000+",Free,0,Everyone,"July 15, 2018",2.3.9,4.0 and up
Download Accelerator Plus,Tools,4.2,43677,Varies with device,"1,000,000+",Free,0,Everyone,"August 30, 2017",20170828,Varies with device
Crunchyroll - Everything Anime,Entertainment,3.7,310095,Varies with device,"10,000,000+",Free,0,Teen,"March 5, 2018",Varies with device,Varies with device
Co-op Credit Union on the Go,Finance,4.4,5,30M,"1,000+",Free,0,Everyone,"April 25, 2018",18.1.79,5.0 and up
AZ PLAYER HD,Tools,3.2,24,4.7M,"10,000+",Free,0,Everyone,"April 11, 2016",1.0,2.2 and up
CS Guns Shoot,Entertainment,3.7,433,Varies with device,"50,000+",Free,0,Teen,"August 1, 2013",1.5,2.2 and up
Jungle book-The Great Escape,Action,3.9,2362,25M,"100,000+",Free,0,Everyone,"July 17, 2013",1.3,2.3 and up
Microsoft OneDrive,Productivity,4.4,1038306,Varies with device,"100,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Sway Medical,Medical,5.0,3,22M,100+,Free,0,Everyone,"July 25, 2018",3.0.0,5.0 and up
Super AR,Entertainment,3.8,410,28M,"10,000+",Free,0,Teen,"December 18, 2017",2.1,4.0 and up
HTC Sense Input - ES,Tools,4.3,3509,6.5M,"1,000,000+",Free,0,Everyone,"October 30, 2015",1.0.612919,5.0 and up
DU Battery Saver - Battery Charger & Battery Life,Tools,4.5,13479633,14M,"100,000,000+",Free,0,Everyone,"June 5, 2018",4.8.7.8,4.0 and up
DX Alert,Tools,4.1,27,2.5M,"1,000+",Free,0,Everyone,"April 28, 2016",1.131,3.2 and up
Frequencies Free,Tools,3.5,382,3.1M,"100,000+",Free,0,Everyone,"February 4, 2018",1.9,4.0.3 and up
USMLE Step 2 CK Cards Lite,Education,4.0,28,1.5M,"5,000+",Free,0,Everyone,"May 20, 2014",2.46,2.2 and up
EMT PASS,Medical,3.4,51,2.4M,"1,000+",Paid,$29.99,Everyone,"October 22, 2014",2.0.2,4.0 and up
AB Screen Recorder,Tools,4.2,533,5.0M,"10,000+",Free,0,Everyone,"October 2, 2017",2.8,5.0 and up
Unclouded - Cloud Manager,Productivity,4.1,6850,11M,"100,000+",Free,0,Everyone,"August 8, 2016",2.3.3-play,4.1 and up
TED,Education,4.6,181893,18M,"10,000,000+",Free,0,Everyone 10+,"July 27, 2018",3.2.5,4.1 and up
Chrome Beta,Productivity,4.4,228794,Varies with device,"10,000,000+",Free,0,Everyone,"August 6, 2018",68.0.3440.91,Varies with device
DEER HUNTER CLASSIC,Action,4.4,3941129,77M,"50,000,000+",Free,0,Teen,"July 16, 2018",3.12.0,3.0 and up
Unit Converter,Tools,4.5,85387,5.4M,"1,000,000+",Free,0,Everyone,"July 3, 2018",2.1.54,4.0 and up
iOBD2-CF,Tools,3.4,5,21M,500+,Free,0,Everyone,"December 26, 2016",1.0,2.3.3 and up
Harkins Theatres,Entertainment,4.3,1511,12M,"100,000+",Free,0,Everyone,"June 11, 2018",2.1.1,4.1 and up
"Freeform – Stream Full Episodes, Movies, & Live TV",Entertainment,3.7,29229,Varies with device,"1,000,000+",Free,0,Teen,"August 6, 2018",Varies with device,Varies with device
Advanced EX for HYUNDAI,Tools,2.7,168,170k,"5,000+",Paid,$4.99,Everyone,"March 14, 2015",1.10,1.6 and up
Pool Billiards Classic - bi a,Sports,3.9,5644,14M,"1,000,000+",Free,0,Everyone,"November 1, 2017",1.7,4.0.3 and up
Critical Care Paramedic Review,Medical,4.4,17,1.8M,"1,000+",Paid,$9.99,Everyone 10+,"May 14, 2018",2.0.5,4.4W and up
DreamMapper,Medical,4.2,10710,8.5M,"100,000+",Free,0,Everyone,"July 3, 2018",2.15,5.0 and up
Quizlet: Learn Languages & Vocab with Flashcards,Education,4.6,211856,Varies with device,"10,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
PulsePoint AED,Medical,4.5,330,17M,"50,000+",Free,0,Everyone,"July 31, 2018",1.12,4.0.3 and up
El Falı,Entertainment,4.8,36968,16M,"1,000,000+",Free,0,Everyone,"November 3, 2017",1.2.9,2.3 and up
FaceQ,Entertainment,4.4,591411,19M,"10,000,000+",Free,0,Teen,"May 16, 2017",3.4.1,3.0 and up
WoW AH Tracker,Tools,2.9,33,Varies with device,"10,000+",Free,0,Everyone,"July 23, 2018",Varies with device,Varies with device
DEER HUNTER CHALLENGE,Action,3.7,38767,4.1M,"5,000,000+",Free,0,Everyone 10+,"April 11, 2011",1.4.3,2.0 and up
5-Minute Clinical Consult,Medical,4.1,84,6.1M,"10,000+",Free,0,Everyone,"December 11, 2017",2.7.36,4.1 and up
CT Sessions,Medical,4.3,62,20M,"5,000+",Free,0,Everyone,"December 15, 2014",2.2,2.3 and up
League of Stickman 2018- Ninja Arena PVP(Dreamsky),Action,4.4,32496,99M,"1,000,000+",Paid,$0.99,Teen,"July 3, 2018",5.3.3,2.3 and up
myMetro,Tools,4.0,26189,5.3M,"10,000,000+",Free,0,Everyone,"June 27, 2018",MyMetro_HTML_2.0_430029,4.0 and up
FilterGrid - Cam&Photo Editor,Photography,4.6,126338,9.6M,"1,000,000+",Free,0,Everyone,"March 15, 2017",2.0.5,4.0 and up
Capital One® Mobile,Finance,4.6,510392,79M,"10,000,000+",Free,0,Everyone,"August 1, 2018",5.38.1,5.0 and up
Q Link Wireless Zone,Productivity,4.0,2194,17M,"500,000+",Free,0,Everyone,"March 8, 2018",2.0.4,4.4 and up
Glide - Video Chat Messenger,Communication,4.3,350154,Varies with device,"10,000,000+",Free,0,Everyone,"July 29, 2018",Varies with device,Varies with device
Barisal University App-BU Face,Education,5.0,100,10M,"1,000+",Free,0,Everyone,"May 6, 2018",3.1.1,4.0.3 and up
Learn Java,Education,4.7,52743,5.4M,"1,000,000+",Free,0,Everyone,"December 25, 2017",3.5.2,4.0 and up
Libre Scan (Diabetes:M addon),Medical,2.4,102,1.2M,"10,000+",Free,0,Everyone,"July 9, 2017",1.2,4.4 and up
Florida Wildflowers,Education,5.0,5,69M,"1,000+",Free,0,Everyone,"July 10, 2017",1.5,4.1 and up
Sonic CD Classic,Action,4.6,26138,15M,"1,000,000+",Free,0,Everyone,"February 14, 2018",1.0.2,4.2 and up
USAA Mobile,Finance,4.5,100997,33M,"5,000,000+",Free,0,Everyone,"July 27, 2018",8.44.2,5.0 and up
Pushbullet - SMS on PC,Productivity,4.5,176873,4.5M,"1,000,000+",Free,0,Everyone,"October 30, 2017",17.7.20,4.1 and up
A. O. Smith,Tools,4.2,32,33M,"10,000+",Free,0,Everyone,"May 21, 2018",3.0.22,4.0 and up
Color by Disney,Entertainment,2.7,5706,47M,"500,000+",Free,0,Everyone,"July 13, 2017",1.7,4.4 and up
3D DJ – DJ Mixer 2018,Entertainment,4.3,6333,30M,"1,000,000+",Free,0,Everyone,"May 25, 2018",1.1.12,5.0 and up
DCUO|CR Calculator Lite,Tools,4.0,182,1.7M,"10,000+",Free,0,Everyone,"August 14, 2017",3.3,3.0 and up
PTA Content Master,Medical,4.2,64,41M,"1,000+",Paid,$29.99,Everyone,"December 22, 2015",2.1,2.2 and up
AP Government Review,Education,4.7,3,1.5M,"1,000+",Paid,$2.99,Everyone,"March 14, 2017",1.1,4.0.3 and up
LG AV REMOTE,Tools,3.4,2420,1.8M,"1,000,000+",Free,0,Everyone,"June 3, 2016",1.1.8,2.3.3 and up
PORTABLE SOCCER DX,Sports,4.4,552,1.6M,"5,000+",Paid,$1.00,Everyone,"June 19, 2018",3.4,2.2 and up
Retro City Rampage DX,Action,4.7,416,16M,"10,000+",Paid,$2.99,Teen,"January 12, 2017",1.0.5,4.0 and up
Clean My Android,Productivity,4.7,101163,6.2M,"5,000,000+",Free,0,Everyone,"July 31, 2018",1.4.5.2,4.1 and up
Underdog FC,Sports,4.6,216,40M,"10,000+",Free,0,Everyone,"August 2, 2018",23.17,4.1 and up
Pocket RxTx Pro,Productivity,4.3,253,Varies with device,"5,000+",Paid,$3.99,Everyone,"March 4, 2018",Varies with device,Varies with device
Calculator - unit converter,Productivity,4.7,287250,Varies with device,"50,000,000+",Free,0,Everyone,"May 9, 2018",Varies with device,Varies with device
ez Share Android app,Photography,3.3,1461,13M,"100,000+",Free,0,Everyone,"August 31, 2017",3.2.6,2.3 and up
DuraSpeed,Tools,3.8,5431,1.3M,"10,000,000+",Free,0,Everyone,"November 13, 2017",1.5.0,6.0 and up
FP Notebook,Medical,4.5,410,60M,"50,000+",Free,0,Everyone,"March 24, 2018",2.1.0.372,4.4 and up
Bomber Friends,Action,4.5,776730,49M,"10,000,000+",Free,0,Everyone 10+,"July 26, 2018",2.23,4.0.3 and up
"AC & TV, DVD, Set Top Box - Remote control IR",Tools,3.6,3632,3.2M,"1,000,000+",Free,0,Everyone,"November 13, 2017",11;11.26,4.0.3 and up
DL Image Manager,Productivity,5.0,2,1.7M,10+,Paid,$0.99,Everyone,"July 29, 2018",1.0.5,4.0 and up
ePay.bg,Finance,4.4,2017,2.4M,"100,000+",Free,0,Everyone,"July 26, 2018",2.22,4.1 and up
Familyfirst Messenger,Medical,4.0,1,3.3M,10+,Free,0,Everyone,"July 12, 2018",0.1.2,4.4 and up
Complete Anatomy for Android,Medical,4.1,90,21M,"1,000+",Free,0,Everyone,"July 11, 2018",1.0.0,7.0 and up
AK47 Assault Rifle,Tools,3.9,54,2.8M,"10,000+",Free,0,Everyone,"May 2, 2015",1.0.0.1,2.2 and up
Alabama Gameday Live,Sports,4.7,19,12M,"1,000+",Free,0,Everyone,"May 18, 2018",2.0.1,4.2 and up
BioLife Plasma Services,Medical,3.5,250,23M,"100,000+",Free,0,Everyone,"July 9, 2018",1.2.0,4.4 and up
BSC IT,Education,4.4,847,21M,"10,000+",Free,0,Everyone,"July 16, 2018",2.3,4.0.3 and up
OST),Entertainment,3.7,4444,10M,"500,000+",Free,0,Everyone,"July 6, 2018",3.0.12,4.1 and up
Gun Mod: Guns in Minecraft PE,Entertainment,3.6,33812,12M,"5,000,000+",Free,0,Teen,"July 30, 2018",2.5,4.1 and up
Scratch-Off Guide for FL Lotto,Entertainment,4.6,25,5.6M,"5,000+",Free,0,Everyone,"July 4, 2018",1.11,4.0.3 and up
Open Camera,Photography,4.3,116880,2.0M,"10,000,000+",Free,0,Everyone,"April 23, 2018",1.43.3,4.0.3 and up
AK-47 3D,Action,3.7,91,24M,"10,000+",Free,0,Everyone,"December 25, 2016",3.2,2.3 and up
Pic Collage - Photo Editor,Photography,4.6,1451000,Varies with device,"50,000,000+",Free,0,Everyone,"July 19, 2018",Varies with device,Varies with device
BH Mail,Communication,3.4,7,6.0M,"1,000+",Free,0,Everyone,"April 3, 2018",5.403,4.0.3 and up
free video calls and chat,Communication,4.2,594720,Varies with device,"50,000,000+",Free,0,Everyone,"July 19, 2018",7.3(800241),4.4 and up
Master for Minecraft(Pocket Edition)-Mod Launcher,Tools,4.6,2674051,26M,"50,000,000+",Free,0,Everyone,"August 6, 2018",2.1.69,4.0.3 and up
US Stock Market,Finance,4.4,1922,4.2M,"100,000+",Free,0,Everyone,"August 1, 2018",1.28,2.3 and up
DH UFO,Entertainment,3.0,4,8.0M,"1,000+",Free,0,Everyone,"June 8, 2017",1,4.1 and up
